numero,filename,tipo,width,height,formato,bytes,tamanho,data_upload,source_url,paginas,alt_text,caption,sha256,status
1,001_banner1.png,foto,1920,650,PNG,633267,618.4 KB,,https://gaiaresidenciaparaidosos.com.br/wp-content/uploads/2018/11/banner1.png,https://gaiaresidenciaparaidosos.com.br/,,,59aa4d1a6e9d4ea7742c5b0ea78032b82e6b0e4026e6c738e1aaf8d2afc57855,baixada
2,002_projetoferias.png,foto,1920,650,PNG,290185,283.4 KB,,https://gaiaresidenciaparaidosos.com.br/wp-content/uploads/2019/11/projetoferias.png,https://gaiaresidenciaparaidosos.com.br/,,,36368ba6baf657dcd3bb7ad5bf5ef015913bede7ac5baa601143f4e7e4db03ed,baixada
3,003_gaia1.png,foto,1080,798,PNG,460428,449.6 KB,,https://gaiaresidenciaparaidosos.com.br/wp-content/uploads/2023/06/gaia1.png,https://gaiaresidenciaparaidosos.com.br/galeria/ | https://gaiaresidenciaparaidosos.com.br/nossas-servicos/,,,e6480cdc5c67857351c34654cd13204f08b17b449801c57a9e0a08829e44bb95,baixada
4,004_gaia2.png,foto,1080,797,PNG,403744,394.3 KB,,https://gaiaresidenciaparaidosos.com.br/wp-content/uploads/2023/06/gaia2.png,https://gaiaresidenciaparaidosos.com.br/galeria/ | https://gaiaresidenciaparaidosos.com.br/nossas-servicos/,,,0d8b2df75f4975651f383bea322794dddf07fbd764b2cb10007c6d159204b1c7,baixada
5,005_Gaia-Residencia-para-Idosos-em-Curitiba.jpeg,foto,1600,1197,JPEG,158650,154.9 KB,,https://gaiaresidenciaparaidosos.com.br/wp-content/uploads/2026/02/Gaia-Residencia-para-Idosos-em-Curitiba.jpeg,https://gaiaresidenciaparaidosos.com.br/galeria/ | https://gaiaresidenciaparaidosos.com.br/nossas-servicos/,,,6c630fa3bf1b0061fd0399b13593a890e5199e5a92c81524619212e6ed9bf369,baixada
6,006_Gaia-Residencia-para-Idosos-em-Curitiba1.jpeg,foto,1540,1600,JPEG,359701,351.3 KB,,https://gaiaresidenciaparaidosos.com.br/wp-content/uploads/2026/02/Gaia-Residencia-para-Idosos-em-Curitiba1.jpeg,https://gaiaresidenciaparaidosos.com.br/galeria/ | https://gaiaresidenciaparaidosos.com.br/nossas-servicos/,,,c20e09de08abdbec91f0a634bc2b02832ef887f8b3e796612cf791a82b0bde62,baixada
7,007_logo-gaia-residencia-para-idosos-footer.png,logo/grafico,194,66,PNG,1998,2.0 KB,,https://gaiaresidenciaparaidosos.com.br/wp-content/uploads/logotipos/logo-gaia-residencia-para-idosos-footer.png,https://gaiaresidenciaparaidosos.com.br/fale-conosco/ | https://gaiaresidenciaparaidosos.com.br/galeria/ | https://gaiaresidenciaparaidosos.com.br/nossas-servicos/ | https://gaiaresidenciaparaidosos.com.br/projeto-de-ferias/ | https://gaiaresidenciaparaidosos.com.br/servicos/ | https://gaiaresidenciaparaidosos.com.br/sobre-a-residencia/,,,80733eb4e8bdcfd85b3a8d191cd352069866ff5234b7976b7ae525d7f1868ad6,baixada
8,008_logo-gaia-residencia-para-idosos.png,logo/grafico,194,66,PNG,2022,2.0 KB,,https://gaiaresidenciaparaidosos.com.br/wp-content/uploads/logotipos/logo-gaia-residencia-para-idosos.png,https://gaiaresidenciaparaidosos.com.br/fale-conosco/ | https://gaiaresidenciaparaidosos.com.br/galeria/ | https://gaiaresidenciaparaidosos.com.br/nossas-servicos/ | https://gaiaresidenciaparaidosos.com.br/projeto-de-ferias/ | https://gaiaresidenciaparaidosos.com.br/servicos/ | https://gaiaresidenciaparaidosos.com.br/sobre-a-residencia/,,,4b2c0ab7e0b1b59de254c68a5c64d43a881b3e7cc7ef4c85b0c4df5dfafe7fad,baixada
9,009_bg-servicos-gaia-residencia-idosos-curitiba3.jpg,logo/grafico,1920,268,JPEG,46920,45.8 KB,,https://gaiaresidenciaparaidosos.com.br/wp-content/uploads/parallax/bg-servicos-gaia-residencia-idosos-curitiba3.jpg,https://gaiaresidenciaparaidosos.com.br/,,,03b9524a336752cf73f47f1b779d61ed47abde93911eb5eb19d32ba0ee5f63b7,baixada
10,010_galeria-gaia-residencia-idosos-curitiba34.JPG,foto,870,540,JPEG,57515,56.2 KB,,https://gaiaresidenciaparaidosos.com.br/wp-content/uploads/portfolios/galeria-gaia-residencia-idosos-curitiba34.JPG,https://gaiaresidenciaparaidosos.com.br/galeria/,,,1b86c6e2ab8bb05854abfc7564808af048d085be11de22fd0a4e899ced584804,baixada
